0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:48 +0900] "GET /covid/rest-hspt/req-inptnt-list?page=1&perPageNum=&searchType=&keyword= HTTP/1.1" 200 4627
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:52 +0900] "POST /covid/rest-hspt/req-inptnt-detail HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:52 +0900] "POST /covid/rest-hspt/req-inptnt-detail HTTP/1.1" 200 874
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:53 +0900] "POST /covid/rest-hspt/req-inptnt-detail HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:54 +0900] "GET /covid/hspt/req-sckbd-list HTTP/1.1" 200 26867
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:42:54 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode= HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:42 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode=C104 HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:44 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode=C103 HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:45 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode=C104 HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:49 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=2&perPageNum=&searchType=&keyword=&typeCode=C104 HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:49 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=3&perPageNum=&searchType=&keyword=&typeCode=C104 HTTP/1.1" 200 4727
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:50 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=4&perPageNum=&searchType=&keyword=&typeCode=C104 HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:51 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode=C104 HTTP/1.1" 200 4720
0:0:0:0:0:0:0:1 - - [21/Jan/2022:08:49:55 +0900] "GET /covid/rest-hspt/sckbdreq-list?page=1&perPageNum=&searchType=&keyword=&typeCode=C103 HTTP/1.1" 200 573
